,business_id,city,stars,categories
1513,3cLBtLFiH8IRdlEy9S8RiQ,Orlando,4.5,"Mexican, Cafes, Latin American, Breakfast & Brunch, Coffee & Tea, Sandwiches, Caribbean, Puerto Rican, Gluten-Free, Food, Restaurants, Venezuelan"
1520,itIK1BxWCEdlIF7D9HpS8Q,Columbus,4.0,"Restaurants, Breakfast & Brunch, Fast Food, Mexican, Tacos"
1571,-dNzrtdgR9v5kbqxw0ZKoA,Austin,4.0,"Bars, Cocktail Bars, Nightlife, Breakfast & Brunch, Restaurants, Mexican, Gluten-Free"
1598,4HiYQ84s7Mqy7iY8vp9_xA,Orlando,4.5,"Latin American, Mexican, Tacos, Restaurants, Sandwiches"
1599,7sqLQ1RlYJURUXriOK1paA,Lake Mary,4.0,"Restaurants, Mexican"
1624,qoe_JAUbIpSnJDx3eLL57g,Pflugerville,3.5,"Restaurants, African, Mexican"
1674,_DEUmcNcbC9RHfH5kTZMGw,Atlanta,3.5,"Asian Fusion, Mexican, Ethnic Food, Specialty Food, Restaurants, Food"
1740,U5a-jKSjttY6w_yjyJP4QQ,Portland,4.0,"Restaurants, Mexican"
1914,5N4bHv9sTm1JsDqhDWz-tA,Austin,2.5,"Tacos, Restaurants, Breakfast & Brunch, Mexican, Burgers, Fast Food"
1919,BTphruTjK0ECkGIFEv1VYg,Portland,3.0,"Nightlife, Mexican, Lounges, Bars, Restaurants"
2077,bTVeKZO_sVuBoBPeb50WBQ,Austin,3.0,"Restaurants, Mexican"
2147,iFofOanM-8rT21M0SHNjoA,Austin,3.5,"Mexican, Caterers, Restaurants, Event Planning & Services, Breakfast & Brunch, Gluten-Free"
2237,S7H15yFkGSqKqThR1796nA,Austin,4.5,"Tacos, Restaurants, Food Stands, Mexican, Food Trucks, Food, Tex-Mex"
2272,TvHDbqCFjZYUVDWD2OWNlA,Altamonte Springs,4.0,"Sandwiches, Restaurants, American (Traditional), Mexican, American (New), Hawaiian"
2297,J4Oln2xg4LR9_jbRuQNYjQ,Boston,3.5,"Restaurants, Mexican"
2333,QAZU8ClDz9XK03SU5jjEjA,Vancouver,4.5,"Latin American, Mexican, Restaurants, Specialty Food, Ethnic Food, Food"
2395,NZFt3xW1JttDoe0ca-Vd6Q,East Walpole,2.5,"Restaurants, Mexican, Tacos, Breakfast & Brunch, Fast Food, Tex-Mex"
2512,DX6G8Vdu9wUx95Tzh6gEwA,Boulder,4.0,"Nightlife, Restaurants, Tacos, Mexican, Cocktail Bars, Bars"
2523,GrnS4hEW6smYaIe_KzDOWw,Austin,4.0,"Restaurants, Mexican"
2584,Xgo_fterKXgspwRHz7YoRQ,Austin,3.0,"Mexican, Restaurants"
2662,4fgFr6XMv0tI41nINQ5fKw,Vancouver,3.5,"Mexican, Fast Food, Salad, Restaurants"
2695,5nUjcxjMpcuMkxfH1YWlUg,Portland,3.5,"American (Traditional), Mexican, Restaurants"
2714,fuT9DHrcCySzBrNxMyJmkg,Portland,4.0,"Mexican, Burgers, Food, Restaurants"
2741,bfZ6JPiFPi1UQeosQ3fYrg,Portland,2.0,"Restaurants, Mexican"
2749,hHoEzwQZgRmH62rTwzBrLw,Lake Oswego,3.5,"Restaurants, Mexican"
2824,yuO6Zg53HhTWSwhRA2codA,Portland,3.0,"Restaurants, Mexican"
2869,FEfYK3WoGMX6K3ML_pA3iA,Apopka,4.5,"Mexican, Restaurants"
2964,p3Y1-l0Q4BrLz6OEu3EfGw,Portland,4.5,"Breakfast & Brunch, Food Trucks, Tex-Mex, Food Stands, Tacos, Restaurants, Food, Mexican"
2993,4CApB_GqrraGweVr1FZtfQ,Austin,4.5,"Restaurants, Food Stands, Tacos, Breakfast & Brunch, Mexican"
3026,JDcJkIfucvcG7BElg0iyBw,Atlanta,4.0,"Restaurants, Mexican"
3091,tSAlnZ05LnjApaqgrvIgFw,Austin,2.5,"Restaurants, Mexican"
3270,TOZD_oNNvnUBmp1i3cp3WQ,Boston,3.5,"Mexican, Restaurants, Latin American, Colombian"
3274,1DqH1jYITwUvlVut_YBApg,Orlando,3.0,"Fast Food, Mexican, Restaurants, Vegan"
3293,6PFzidqH3oSNK5eXOHNBIQ,Vancouver,4.0,"Specialty Food, Grocery, Restaurants, Imported Food, Mexican, International Grocery, Food"
3349,uYkSc23dxokN4IuvpIyhXA,Somerville,3.5,"Italian, Mexican, Chicken Wings, Pizza, Greek, Restaurants, Wraps"
3368,nafswvhlSOsdja_vuzpRpQ,Orlando,3.0,"Burgers, Mexican, Restaurants, Cocktail Bars, Bars, Nightlife"
3411,mcCLckXtGlbvjZhdvnWqng,Boston,3.5,"Food, Mexican, Restaurants, Juice Bars & Smoothies, Fast Food"
3428,HaKhksuFqOkKNY2_AZvPuQ,Powell,2.5,"Mexican, Restaurants, Fast Food"
3471,p75vHtBfMywJmpeFL63Y5Q,Columbus,2.5,"Restaurants, Tex-Mex, Mexican"
3482,LMzCJm-EfQhNkCxzdZmHpQ,Vancouver,4.5,"Nightlife, Restaurants, Mexican, Bars"
3539,R2Z5PCn1aLb3Dy90Mw5eFQ,Atlanta,4.0,"Mexican, Restaurants, Steakhouses, Nightlife"
3546,Ymr0gtRtsRZZwgxpIlr0Wg,Austin,4.5,"Seafood, Mexican, Tacos, Tex-Mex, Caterers, Breakfast & Brunch, Event Planning & Services, Restaurants"
3623,-8LDoPjHsg6QM1djzneCTw,Austin,5.0,"Mexican, Tacos, Food, Restaurants, Food Trucks"
3637,u6Xvl8fNovb-lOIaVxwbfw,Forest Park,4.5,"Restaurants, Mexican"
3650,Dz8TNkbyOqiwUHeEdp9-bQ,Austin,4.0,"Butcher, Restaurants, Mexican, Food, Grocery"
3677,Z2TdACcFP8j3EHSq3wqvAg,Kissimmee,3.5,"Salad, Mexican, Desserts, Barbeque, Food, Restaurants"
3731,T4vxfz8QR6WeXxM0M1NLrA,Lake Mary,2.5,"Restaurants, Tex-Mex, Mexican"
3792,3L-ezs0VANOtmdJDlbha1Q,Portland,4.5,"Food, Restaurants, Vegetarian, Cocktail Bars, Local Flavor, Bars, Beer Bar, Sandwiches, Nightlife, Mexican, Food Trucks"
3796,CXgwGeN-1c6WlnOBwK3F4Q,Hapeville,4.5,"Chicken Wings, Restaurants, Tacos, Burgers, Mexican, American (Traditional)"
3872,6wzztDGSDViDWp27tBGoSQ,Vancouver,3.0,"Restaurants, Mexican, Burgers"
3880,1diwr6ycCvtBXR5vmnmNGg,Austin,4.0,"Tex-Mex, Salad, Restaurants, Mexican"
3897,2Ih7fRtYfpGIpGLL0pvBPA,Lake Mary,4.0,"Restaurants, New Mexican Cuisine"
3918,3V31ByqLFV_N3TnPJGjLqA,Atlanta,3.5,"Restaurants, Mexican"
3977,BSgn3PhOghLhyw00hdiQyQ,Portland,2.5,"Restaurants, Fast Food, Mexican, Food"
3985,Goxa2_7dOZo6z8SqSy-F1w,Saugus,4.0,"Mexican, Seafood, Nightlife, Restaurants, Bars"
3996,EUlbbR4Z2QkYdnrJQb04YA,Newton,3.0,"Restaurants, Mexican"
4053,K4X4nJVp0BcSn9Cvoavk8A,Decatur,3.0,"Mexican, Restaurants"
4088,SrfGTXkBIt-KOXBAiOB-lg,Columbus,3.5,"Caterers, Bars, Salad, Mexican, Restaurants, Seafood, Event Planning & Services, Nightlife"
4103,U2BIpwYElsqUiVfX2uw_8A,Roslindale,3.5,"American (Traditional), Mexican, Pizza, Restaurants"
4150,OAd0utZF0Ba10B1aGO-GUQ,Austin,3.0,"Restaurants, Fast Food, Tacos, Mexican, Tex-Mex"
4153,44lWPwdBCOU9nsApE9FbRA,Quincy,2.5,"Fast Food, Food, Mexican, Tex-Mex, Restaurants"
4194,4jrYlnf2zvYLhWp6HYtM9g,Columbus,2.0,"Restaurants, Fast Food, Mexican"
4198,IJ0ZAJkYSVXv2lEK7tbZyg,Austin,3.5,"Restaurants, Mexican"
4199,vhU6rwrq3bmJE2yyc6cKVQ,Wilmington,3.5,"Mexican, Restaurants"
4291,SPRp6SyKSMjJYcXhzUBJDg,Westerville,3.5,"Mexican, Restaurants"
4336,bWmgiuAxZC60YoE1IgMiHg,Vancouver,4.0,"Restaurants, Mexican"
4367,FdXBaM-w-jXxyRKr4464wg,Columbus,3.0,"Restaurants, Mexican"
4402,5fI9ZzqzRLnMNYoTMjUGGQ,Austin,5.0,"Breakfast & Brunch, Tacos, Mexican, Food Trucks, Food, Restaurants"
4495,fLuA2DSNOeAmFoGQDlnTRg,Atlanta,2.5,"Mexican, Restaurants, Tex-Mex"
4602,PySoEDAeoksJcVCJi8Sjzg,Orlando,4.0,"Food, Tacos, New Mexican Cuisine, Restaurants, Breakfast & Brunch, Spanish, Tex-Mex, Mexican"
4614,PVpNW35f5XVBQMmUBgW3gQ,Boston,3.5,"Asian Fusion, Mexican, Restaurants, Food, Korean"
4624,aXgDfupEoIh3gD6RH-RY5g,Orlando,4.5,"Salad, Nightlife, Mexican, Tacos, Bars, Beer Bar, Restaurants"
4695,fZ17X_m2hr1F1hbp3HcZhQ,Austin,4.5,"Shopping Centers, Local Flavor, Coffee & Tea, Food, Specialty Food, Sandwiches, Convenience Stores, Restaurants, Shopping, Tacos, Mexican"
4724,ec6X_eh2wyzFLqHbApAsuw,Austin,4.5,"Restaurants, Mexican, Tacos, Food, Food Trucks"
4735,wJwcXvMBaeBqEdb9uJ4tAw,Titusville,3.5,"Mexican, Caterers, Restaurants, Event Planning & Services, Cuban"
4763,UZUjgF7XW7WkvyUb8_qCiA,Portland,3.5,"Restaurants, Nightlife, Tex-Mex, Cocktail Bars, Mexican, Bars"
4777,ph3OKXwCWeT41vTK5SDaQg,Orlando,4.0,"Mexican, Restaurants"
4785,_kzXYjmUfxWU6msUEecTiA,Portland,4.0,"Restaurants, Thai, Mexican"
4792,-k6_OLCGJzo7YnrcGivEBw,Canton,2.5,"Tex-Mex, Mexican, Restaurants"
4886,3qR_bkrNs69KxMf231MWcg,Saugus,2.5,"Fast Food, Mexican, Restaurants"
4925,mSIPE2ZU4wN1tSWwS8P0xg,East Point,2.0,"Restaurants, Mexican"
4927,7Uey3OQfLxJgKE8KcFqUqA,Portland,3.0,"Mexican, Fast Food, Restaurants"
4966,4LAWXiYvYh2TIr5of5ubgw,Milwaukie,2.5,"Burgers, Restaurants, Fast Food, Breakfast & Brunch, Mexican, Tacos"
4978,l3lTVzvAH-bEligGjItMpg,Austin,2.5,"Fast Food, Mexican, Breakfast & Brunch, Restaurants, Tacos, Burgers"
4984,TmN0nt5zAvaarj5g-A7Hgw,Austin,3.5,"Mexican, American (Traditional), Breakfast & Brunch, Restaurants"
5055,6UZKsr0TrsdZ61jwOjIiyA,Austin,2.5,"Mexican, Restaurants"
5119,sfQPtnj1IkLfB5P2XmAkSA,Orlando,3.0,"American (Traditional), Tex-Mex, Mexican, Restaurants"
5121,wC3VH3DK4urHx9DCR4ngsw,Columbus,4.0,"Mexican, Local Flavor, Restaurants, Food Stands"
5138,GA82Hdfv2me7IYm4ojbzcg,Beaverton,2.5,"Restaurants, Tex-Mex, Mexican, Fast Food"
5178,zNeUKQpxP-IKpYYVLRKxgg,Orlando,4.5,"Tacos, Tex-Mex, Restaurants, Mexican, Street Vendors, Food, Soup"
5182,5P3b82EqZqR7lCqAYj-zaQ,Boulder,4.5,"American (New), Mexican, Restaurants, Cafes, American (Traditional), Diners, Breakfast & Brunch"
5275,VwM-QyAgE8aBI9nHszyNRg,Atlanta,1.5,"Bars, Restaurants, Nightlife, Mexican"
5297,KpdYtK2KtLxEzYNW38XKZQ,Columbus,2.5,"Restaurants, Fast Food, Mexican"
5312,xjGHzF5LyZyTWtQinHfUWw,Atlanta,4.0,"Mexican, Restaurants"
5314,lBdrdc1QYaz6DCSYdQGfBw,Chestnut Hill,3.5,"Bars, Nightlife, Restaurants, Cocktail Bars, Latin American, Mexican, Diners"
5369,gB2x0t7s1_uCWZwLugUMyA,Westerville,4.5,"Restaurants, Mexican, Tacos"
5654,NFyDyeQfIKebj5FbHmkB7w,Atlanta,3.5,"Restaurants, Mexican"
5673,Uoh30kUglgC13gv_lavhSw,Austin,4.5,"Mexican, Food Trucks, Street Vendors, Restaurants, Fast Food, Food, Seafood"
5675,11wXnpi6xN96wi2suPDpUA,Portland,4.5,"Restaurants, Mexican, Food Stands"
5683,tYXW83I613qp9BfsoGHImw,Natick,3.0,"Restaurants, Food, Tex-Mex, Mexican"
5685,EAtNhs_ecwKsZL0qaNPqbQ,Atlanta,4.0,"Restaurants, Mexican, Cuban"
5696,zwkrnft4UTLO93nQmdwrXA,Austin,4.5,"Food Trucks, Restaurants, Street Vendors, Food, Mexican, Tacos"
5745,5bc9-OLawv-HPNdkuhw4CQ,Austin,2.0,"Tacos, Burgers, Mexican, Restaurants, Fast Food, Breakfast & Brunch"
5810,S-66gQ7_Ls0tSEtLqGvG-g,Pflugerville,3.5,"Restaurants, Mexican"
5811,Vt19ATiZWFiaBxXtozU0OQ,Austin,2.0,"Tacos, Mexican, Restaurants, Food, Convenience Stores, Beer, Wine & Spirits, Automotive, Sandwiches, Gas Stations"
5846,Z6W09yz3d_FU1VQubdd43w,Austin,3.5,"Tex-Mex, Mexican, Restaurants, Fast Food"
5871,Mc9-Qpl3xgjWutEJQ69_5Q,Vancouver,3.0,"Mexican, Restaurants"
5936,oHUUib6MhY7rb0DFZuuFgA,Portland,4.5,"Bars, Restaurants, Nightlife, Mexican"
5939,2TXf9KAC1tNjtvxB9n9Vmw,Orlando,4.0,"Mexican, Restaurants"
5955,KTFh7wJtV5mbb6HP3Eihnw,Portland,3.0,"Nightlife, Bars, Mexican, Restaurants"
5998,KIHoGUfCOLhBFQVSAN4QSg,Austin,4.5,"Mexican, Restaurants"
6125,no1cyjeXExdMz61H6ZjKzA,Boulder,4.0,"Fast Food, Mexican, Restaurants, Vegetarian, Gluten-Free, Seafood"
6174,HXpqpRy579Qy5mnNlVIuPA,Portland,3.0,"Mexican, Restaurants, Gluten-Free"
6207,ezX80RabJ62B2lbKXCtg3g,Austin,4.0,"Tex-Mex, Restaurants, Mexican"
6214,xQzXaKGxECtExC5eaJHaoQ,Reynoldsburg,3.5,"Salad, Soup, Mexican, Tacos, Restaurants"
6220,xhEuWiybFbzlEK92cAVAHA,Braintree,3.0,"Restaurants, Food, Mexican, Fast Food, Caterers, Event Planning & Services"
6235,Hhc8Ix8sygBjqFbiO1c1TQ,Lake Mary,3.0,"Mexican, Fast Food, Restaurants"
6246,aM-FPdJicti_TzymjW3Usg,Austin,3.5,"Mexican, Tex-Mex, Restaurants"
6262,_1lwieLPTdvfbEStNTnzDg,Austin,4.0,"Beer Bar, Waffles, Bars, Restaurants, Mexican, Cocktail Bars, Nightlife, Tacos"
6357,_HjtaT4TMHwOoGG_pZmk1A,Austin,4.5,"Mexican, Restaurants"
6362,Js20LjuFi5uaRXDVdhx7TQ,Atlanta,3.5,"Restaurants, Bars, Breakfast & Brunch, Nightlife, American (Traditional), Pizza, Sandwiches, Mexican, Cafes"
6412,iLBsy5sCm0RuYDjiORzWiQ,Winter Park,3.0,"Mexican, Tex-Mex, Restaurants"
146,mE71Kja2XJq25-iQhGcdfA,Austin,4.0,"Restaurants, Mexican, Tex-Mex"
188,_Nb-nFJ0AWbDT0EtiKcdoA,Austin,5.0,"Tacos, Food, Mexican, Restaurants, Tex-Mex, Event Planning & Services, Caterers, Food Trucks"
196,Z6zAW5KYUbOqlv1pa63STw,Revere,3.0,"Restaurants, Mexican, Bars, Nightlife"
299,2jjP-NW6SiEAxubnvWW08w,Atlanta,2.0,"Cocktail Bars, American (New), Nightlife, Food, Restaurants, Mexican, Bars, Desserts"
366,p24FiEVqAZyMItNdn4PLLg,Atlanta,3.0,"Restaurants, Mexican"
405,9tEBtu2x3LZFB5eSJebh7g,Wakefield,4.0,"Restaurants, Mexican, Cocktail Bars, Bars, Tacos, Nightlife"
443,rVV5dlPA6N8ds7L7kr4KQA,Atlanta,3.0,"Desserts, Nightlife, Tacos, Food, Bars, Mexican, Sports Bars, Tex-Mex, Seafood, Restaurants"
444,Uq2L9gUC77-fRb0xr4IlOg,Beaverton,3.5,"Restaurants, Fast Food, Mexican"
454,PTGn0NTV-GKtwSV80xortA,Beverly,4.0,"Salad, Mexican, Restaurants, Wraps, Fast Food, Mediterranean, Sandwiches, Falafel"
481,DPiSO_JKl7egO8m47fk-8g,Columbus,3.5,"Tex-Mex, Bars, Mexican, Nightlife, Restaurants"
492,bOkLeien1ra8x-7R9E8iYQ,Boston,3.0,"American (New), Mexican, Restaurants"
540,FfBb8LED4sZptpKQnp8ODQ,Tigard,3.0,"Mexican, Restaurants, Fast Food, Tex-Mex"
569,H61GvE_VbTXtQbEgTPLchg,Salem,4.0,"Bars, Arts & Entertainment, Nightlife, Music Venues, Restaurants, Tex-Mex, Mexican, Buffets"
573,Lu8MNHHOiH-qq-y3tF7Y3A,Portland,4.5,"Comfort Food, Caterers, Restaurants, Event Planning & Services, Tacos, Food, Bars, Breakfast & Brunch, Salad, Cocktail Bars, Sandwiches, Desserts, Mexican, Nightlife, Barbeque"
578,6oK8LDTf6NimlKfHjIuDTQ,Boston,3.5,"Latin American, Restaurants, Colombian, Mexican"
588,IyCG8CxQkHReZ2Rl46YiJw,Portland,4.0,"Food, Restaurants, Event Planning & Services, Mexican, Caterers, Food Stands"
606,Y6MHlJ9U1rBNRf5BkyDTKw,Austin,2.5,"Fast Food, Mexican, Restaurants"
621,xvxLbAzAjsLGjGaCcD8ICw,Columbus,4.5,"Food, Mexican, Grocery, Restaurants"
631,LTiwGQrF1BxDTNCz4VfwDg,Manor,5.0,"Food Trucks, Street Vendors, Breakfast & Brunch, Mexican, Tacos, Restaurants, Food"
641,iPjqdlOkFm6x1KTDm2cp7Q,Columbus,4.0,"Restaurants, Food Stands, Mexican"
680,EWOt6ZUkPC12D2E34VWnPQ,Boulder,3.5,"Restaurants, Salad, Nightlife, Burgers, Mexican, Bars, Cocktail Bars, Sandwiches"
771,CX9gm33JKx1TV-K9LHiAkQ,Austin,5.0,"Sandwiches, Restaurants, Nightlife, Beer Bar, Vegetarian, Tapas/Small Plates, Tacos, Bars, Food, Mexican, Food Delivery Services, Salad"
842,UnNDTOGGAIxKfxA2fCAXaA,Austin,3.0,"Restaurants, Mexican"
910,T1Gi5BN7eH99tu2x7q8RFA,Portland,3.5,"Restaurants, Mexican, Breakfast & Brunch, Nightlife, Tacos, Bars"
924,vWH1PWT33K1LEkYx170NkQ,Reynoldsburg,3.5,"Vegetarian, Mexican, New Mexican Cuisine, Restaurants"
927,Bn_dXarq8TnGHm4VIEUVHA,Orlando,2.5,"Tex-Mex, Mexican, Restaurants, Fast Food, Event Planning & Services, Caterers"
963,7b7OOWYTm6bAzbFEWbV5Cg,Austin,4.0,"Restaurants, Tex-Mex, American (New), Mexican, Breakfast & Brunch, Vegetarian, Tacos"
977,1hW2sBSF3hgwvMNUgw7_8w,Austin,3.0,"Bars, Mexican, American (Traditional), Restaurants, Nightlife, Tex-Mex"
1056,46papwYigu0NWzd0WV5kEA,Portland,3.5,"Mexican, Restaurants, Cafes"
1189,4rvjEnYbFMCXjHLYX2I8vw,Winter Garden,3.0,"Mexican, Restaurants, American (Traditional), Nightlife, Bars, Tex-Mex, American (New)"
1218,40Ibl_tuwyA_DItAFc5dpg,Portland,4.5,"Restaurants, Mexican, New Mexican Cuisine"
1246,7BqGVTf5NQKzqAoo_c7WRg,East Boston,4.0,"Salvadoran, Nightlife, Mexican, Latin American, Bars, Restaurants"
1289,ChjOrjwmuKOCkrbi1jiLUg,Winter Park,4.0,"Mexican, Restaurants, Fast Food"
1291,XqNgfxyXP3kz8t3iG8ehZA,Austin,4.5,"Food Trucks, Restaurants, Food Stands, Food, Tex-Mex, Vegan, Mexican"
1317,bfp3NUfwPygFKpPPGgpCcg,Gahanna,2.5,"Restaurants, Mexican, Tacos, Breakfast & Brunch, Fast Food, Tex-Mex"
1320,x0WpXbEhum56xnUiq27yZg,Atlanta,2.5,"Tacos, Fast Food, Mexican, Breakfast & Brunch, Restaurants, Tex-Mex"
1436,vQo-1XVKkzcujJbMjdfL2w,Kissimmee,4.5,"Restaurants, Mexican"
1459,npkypk0H-ihQGMauL3jjFQ,Orlando,3.0,"Tex-Mex, Restaurants, Mexican"
1469,SAN8GC4p60z-X-rqMUH5RQ,Portland,4.0,"Food, Restaurants, Food Trucks, Mexican, Caterers, Event Planning & Services"
1472,7ulyX8S5mltsWnMrXo6-QA,Austin,4.0,"Mexican, Restaurants, Food Stands, Food"
1519,2K2Y06j-N92sj1GJpeo8Rg,Dublin,3.0,"Mexican, Latin American, Restaurants, Bars, Nightlife"
1579,VJJ3_oNesS9bvIlayL0kQA,Portland,4.0,"Mexican, Bars, Arts & Entertainment, Coffee & Tea, Food, Restaurants, Tacos, Nightlife, Pubs, Tex-Mex, Music Venues, Sandwiches, Vegan"
1631,mWTKc-XP2nYRKPLpI3ePvw,Davenport,3.5,"Restaurants, Breakfast & Brunch, Tacos, Fast Food, Mexican, Tex-Mex"
1665,_OXfohA-00zmJYdnfFi7Qw,Kissimmee,4.5,"Mexican, Restaurants"
1668,kSTjBjuvqpKU65PwrjzUmg,Orlando,3.5,"Restaurants, Mexican"
1712,xE6dY-orDj6YZW7qGiB4CA,Portland,4.0,"Nightlife, Restaurants, Mexican, Vegetarian, Latin American, Lounges, Beer, Wine & Spirits, Food, Bars"
1750,5I0yJ_X7uyPmoJWzKRYDuA,Atlanta,3.5,"Mexican, Restaurants"
1753,Ln-8CbKGZGmF-GCqMoMcpA,Atlanta,4.0,"Food, Tapas Bars, Restaurants, Mexican"
1816,Zg90qJF9EvASbqEARi3bZA,Boston,4.0,"Restaurants, Mexican"
1876,nvm5rsYEBY54KhW1eHyTBQ,Decatur,2.5,"Restaurants, Tacos, Tex-Mex, Mexican, Fast Food, Breakfast & Brunch"
